step,SmallMatrix/conv,SmallMatrix/iters,SmallMatrix/nodes_touched,SmallMatrix/tau,SmallMatrix/alpha,SmallMatrix/beta,SmallMatrix/gamma
140,0.0029368631354074067,140,5880,1,0.9438954349276694,-1.4082302806029117,4.995203232501385
141,0.002155824503465937,141,5922,1,0.9798903117097852,-1.380844488525432,4.994816416887219
142,0.0017299960102089564,142,5964,1,0.9725245339137081,-1.3925984457876235,4.994846878569486
143,0.0021211245699896118,143,6006,1,0.9681663666343492,-1.4018871627866123,4.99484680896704
144,0.0008390338000342989,144,6048,1,0.9779041017429912,-1.3984736215033537,4.9947059997028385
145,0.0030252441405979095,145,6090,1,0.9502083737028777,-1.429844106407416,4.994933396910584
146,0.001226504674568537,146,6132,1,0.9958171145528176,-1.3933895458051673,4.994430405207645
147,0.002403276655521195,147,6174,1,0.9685593739847747,-1.4233466192795945,4.99466499539018
148,0.0026121018605304277,148,6216,1,0.9940238193822939,-1.4055874781876452,4.994355533130087
149,0.0009266971882241659,149,6258,1,0.9998479745371687,-1.405827902016107,4.994245142596808
150,0.002317761681941538,150,6300,1,0.9681241359776993,-1.4404794219397614,4.994529289027409
151,0.0006739571633751674,151,6342,1,1.0018064241810847,-1.41484646413672,4.9941255039138435
152,0.002604201140057956,152,6384,1,0.9634978942689192,-1.4563819115225796,4.994479489359431
153,0.0012404132974051247,153,6426,1,1.011818380713084,-1.4168295657715937,4.993912579518345
154,0.0019271787596365734,154,6468,1,0.9897012663955316,-1.4423430547879785,4.994105516159689
155,0.0026413226183280704,155,6510,1,1.0075935759533423,-1.4314387870092435,4.993855504697869
156,0.0006802982270983295,156,6552,1,1.0214188549036067,-1.424643508977435,4.993643109558239
157,0.0022239794986194396,157,6594,1,0.9785695424163645,-1.470147496391084,4.994068560138461
158,0.0008968763083395616,158,6636,1,1.0215953253625232,-1.4353707774286113,4.993530623277376
159,0.0023505123504562377,159,6678,1,0.99376602694185,-1.4667412944713327,4.9937944670607655
160,0.0011929660381578917,160,6720,1,1.0296113596308492,-1.4392383766241772,4.9933210028789
161,0.0017140559728986901,161,6762,1,1.0094142067446679,-1.4632016504333238,4.993503045343623
162,0.0024809430287459156,162,6804,1,1.0248364388507918,-1.4545690099082895,4.9932614653736715
163,0.000689032515591746,163,6846,1,1.0406997338614168,-1.4459525883292206,4.993005885660539
164,0.002010284206874361,164,6888,1,0.9998976526494432,-1.4896599914964856,4.993437760946678
165,0.0007161570890745029,165,6930,1,1.0395421466530606,-1.4580384408896618,4.992896705258509
166,0.0023129402321961,166,6972,1,1.0072243587218541,-1.4941144541687632,4.99323067815954
167,0.0010847297347828949,167,7014,1,1.0506115347748357,-1.4593277752406832,4.992626703147938
168,0.0017484944078919435,168,7056,1,1.027437865216136,-1.4861767521782163,4.9928580107038005
169,0.0021690416980793864,169,7098,1,1.04702621558774,-1.473727174213076,4.99254168824953
170,0.0009338681702666918,170,7140,1,1.0576725632784292,-1.4698038675220293,4.992332988719383
171,0.0016625267437017774,171,7182,1,1.0314703008708028,-1.4997189179389159,4.992608678016872
172,0.0005426541093549288,172,7224,1,1.0545587873065232,-1.483885878404171,4.992236477082471
173,0.0023663012847557163,173,7266,1,1.019019556129934,-1.523838049968835,4.992630237539099
174,0.0008678614599761272,174,7308,1,1.0732461375931486,-1.4784685545742309,4.9918350730001535
175,0.0018451308387310535,175,7350,1,1.041226528786645,-1.5137641278571807,4.992201787574701
176,0.0015898403265350945,176,7392,1,1.070701464389881,-1.4920459802292723,4.991722597685234
177,0.0015260396745124668,177,7434,1,1.0685710479133141,-1.4997024367828695,4.991677205051882
178,0.001131983821898767,178,7476,1,1.0702555400808684,-1.5039203741234837,4.9915764401565355
179,0.0010421412807336981,179,7518,1,1.0628697007368069,-1.516599850718419,4.991604260118283
180,0.002226649735728178,180,7560,1,1.063091804723175,-1.5222534293524204,4.991522932100087
181,0.0005167817200007951,181,7602,1,1.093161750553103,-1.5004939584876613,4.9909984110567445
182,0.0016701602216652907,182,7644,1,1.0449572250288472,-1.5518555396713047,4.991623478498977
183,0.0006085105600913241,183,7686,1,1.0892031521629262,-1.5155287964567168,4.9908922461866645
184,0.0020681851358625436,184,7728,1,1.0568134100691342,-1.552089470552371,4.991293518193727
185,0.0008692298523299492,185,7770,1,1.1032301847601667,-1.5144575898754127,4.990501694740682
186,0.001601203983115194,186,7812,1,1.075534582614723,-1.5458337425584003,4.990847034863032
187,0.0015348074930356139,187,7854,1,1.1004060804648765,-1.5285382337760558,4.9903701059926995
188,0.0013925839395424364,188,7896,1,1.1020777394631214,-1.532830045250968,4.990253331369926
189,0.0010496920463527956,189,7938,1,1.1017838471890133,-1.5389262911279906,4.990167235961064
190,0.0010273774378189845,190,7980,1,1.0948778393220602,-1.5511976898190964,4.990188282578725
191,0.001985550579900079,191,8022,1,1.0973002913222432,-1.5548343885501634,4.990056453652491
192,0.0006550686356634908,192,8064,1,1.124238662968666,-1.5361167998856882,4.989506420268945
193,0.0013747047935804024,193,8106,1,1.0877126043439522,-1.5759016644286907,4.990027624347064
194,0.0004803399920450168,194,8148,1,1.1173695805808295,-1.5539247307119628,4.989429910855224
195,0.002019242673476061,195,8190,1,1.0831391987473058,-1.592474450104029,4.989914163844171
196,0.0006065343041450259,196,8232,1,1.1378384813054638,-1.547205850274774,4.988863012799722
197,0.0015147071123967268,197,8274,1,1.097737425128401,-1.5902488652972613,4.989473137837731
198,0.0008457532699551758,198,8316,1,1.1338507665552249,-1.5623907412819371,4.988727446016503
199,0.0017729669480004671,199,8358,1,1.1160233169332012,-1.584741734908814,4.988947780692827
200,0.0008091965429634503,200,8400,1,1.146142211606287,-1.5630623773649288,4.988282485081866
201,0.001393172188764101,201,8442,1,1.1209033337717602,-1.5920824557699695,4.988648000568816
202,0.0013116239999406648,202,8484,1,1.1438630747194256,-1.5767978473003952,4.9881055191995785
203,0.0013985274620031529,203,8526,1,1.1449353616824176,-1.5817075633525854,4.987972655925555
204,0.0009115656596468044,204,8568,1,1.1505691905126525,-1.582496269373011,4.987748141151695
205,0.0011341997559827168,205,8610,1,1.1382260936915902,-1.5997226455204747,4.987876647680959
206,0.001575410465500993,206,8652,1,1.1494727404635077,-1.5952895824080866,4.987537966568128
207,0.0010152092940410263,207,8694,1,1.164861210073516,-1.587300005311149,4.98710467583051
208,0.0009497799521221221,208,8736,1,1.1519994229640664,-1.6048380555275497,4.987249231426709
209,0.0008437755126190532,209,8778,1,1.1528558862727798,-1.6100002530801671,4.987110598890123
210,0.001695879622620725,210,8820,1,1.1518225170040532,-1.6169284833220146,4.987009619964708
211,0.0007052426977244119,211,8862,1,1.1809125634066615,-1.5965079988979483,4.9862621877391735
212,0.0010059560622174373,212,8904,1,1.1518627480607089,-1.6288928320625118,4.986759999150608
213,0.000650186008275769,213,8946,1,1.168207662597652,-1.6197135022792168,4.9862815687621715
214,0.0017306900877157208,214,8988,1,1.1554938019044947,-1.637525958893677,4.986427606449174
215,0.0005557794711526503,215,9030,1,1.195094892661832,-1.6074584011821047,4.9854096290183625
216,0.0010907356865780583,216,9072,1,1.156372383577382,-1.6487997684671984,4.986146925906821
217,0.0005343966466910479,217,9114,1,1.1845577992826226,-1.6286252224308537,4.985377555428693
218,0.0017224783425758318,218,9156,1,1.1615603134508272,-1.6560002694014653,4.985763439190929
219,0.0004576020591241845,219,9198,1,1.2084338069704708,-1.6192205648286095,4.984525728888414
220,0.0011208757010800555,220,9240,1,1.162519475035226,-1.6672703887632343,4.985465944672423
221,0.0004626462493217869,221,9282,1,1.1990348725553934,-1.639330613150605,4.9844614483632625
222,0.00169868409639992,222,9324,1,1.1695710366989642,-1.6727116093183736,4.985019588855989
223,0.00041062627308330075,223,9366,1,1.2215161143519948,-1.6312716187307563,4.983595530517354
224,0.001115261403671364,224,9408,1,1.1718590614387427,-1.6827393333028309,4.98467383312429
225,0.0004390642438117672,225,9450,1,1.2124018894474295,-1.6511071431625843,4.983517582330992
226,0.0016728777699906855,226,9492,1,1.1810119476325964,-1.6861936197820193,4.984151684779239
227,0.0004123854888453798,227,9534,1,1.2346316859893185,-1.6433549823735372,4.982609039989074
228,0.0010816338325193733,228,9576,1,1.1854087349900708,-1.6942187215813598,4.983732403288321
229,0.0004611890775628551,229,9618,1,1.2248895563795434,-1.6637322771010281,4.982540839577176
230,0.001645346975320101,230,9660,1,1.1962936497619483,-1.6960808883233112,4.983134049732206
231,0.000459466387208556,231,9702,1,1.2477835191752211,-1.6554651077757858,4.981562689756596
232,0.0010163414899645672,232,9744,1,1.2029228511599994,-1.7020136211452181,4.982628522130174
233,0.0005206351252760787,233,9786,1,1.2362514448739705,-1.677417184088091,4.981538513040677
234,0.001603129299789521,234,9828,1,1.2143969131913894,-1.703417867306553,4.981974780439275
235,0.0005467514516252782,235,9870,1,1.2606567661431953,-1.667869897936534,4.980462221064444
236,0.0009053553387972425,236,9912,1,1.2230698271924103,-1.7074919075035955,4.981377266433187
237,0.0006018116239742493,237,9954,1,1.245641076699121,-1.692916996473812,4.980537182758862
238,0.0015205479799271467,238,9996,1,1.2335588352946305,-1.7099212390971603,4.980707205624038
239,0.0006650415178648261,239,10038,1,1.2725660290205936,-1.6811536378346115,4.9793268387555685
240,0.0008535559853099057,240,10080,1,1.2442518512817085,-1.7122169612547413,4.980007691217983
241,0.000725807180943568,241,10122,1,1.257258556300935,-1.7064739146245929,4.9794109371978115
242,0.0013631131601425058,242,10164,1,1.2545225050197415,-1.7149492914946114,4.979296941840088
243,0.0009036952601789475,243,10206,1,1.2823469902041376,-1.6963168073291266,4.97819585440725
244,0.0007803515068842802,244,10248,1,1.2699202852216065,-1.713149720473011,4.97839503507495
245,0.0008958589704266217,245,10290,1,1.2677605902911615,-1.7210774995549596,4.978255892024686
246,0.001097939233744966,246,10332,1,1.2765918647763148,-1.7191965462786123,4.977750065198339
247,0.0011638048669432295,247,10374,1,1.2880067333181535,-1.7151151433725131,4.977144173519621
248,0.0006496686152230267,248,10416,1,1.2938101633489822,-1.7160027687411121,4.976719775532362
249,0.0010021050460306965,249,10458,1,1.2747072884773076,-1.7389243336610734,4.977157205731148
250,0.0007115207184412542,250,10500,1,1.2950433353357014,-1.7268280533164868,4.976220835989402
251,0.0013707328085954143,251,10542,1,1.2852574317486167,-1.7414961691658493,4.976337630472935
252,0.00045336276912571213,252,10584,1,1.314438515947742,-1.7219115727183791,4.975041371710487
253,0.0009850156048533867,253,10626,1,1.2748857818849126,-1.7629840829375456,4.976240754703946
254,0.00032468076684166595,254,10668,1,1.3085674233627622,-1.7388560450081259,4.974774971866985
255,0.0014425226155238592,255,10710,1,1.269082183993149,-1.7805358022355346,4.975976942911954
256,0.0004496263407102306,256,10752,1,1.3307764298830447,-1.7315995104497524,4.973415803480046
257,0.0008039419090392595,257,10794,1,1.2886559775881739,-1.7746991358672837,4.974780503685977
258,0.0005699675021293602,258,10836,1,1.314859571722372,-1.7572606185574038,4.973526452011269
259,0.0012946830079516901,259,10878,1,1.3049630585710652,-1.7720684558062654,4.973653997522177
260,0.0008008072887503359,260,10920,1,1.3408767737773801,-1.746627812707325,4.971946219409643
261,0.0007118929829479543,261,10962,1,1.3254445575794822,-1.7659300266299498,4.972309337488722
262,0.0008516643708100421,262,11004,1,1.3243951422952185,-1.772848239284513,4.972079981857002
263,0.0008846575460436952,263,11046,1,1.3350668270726616,-1.7694800693866986,4.971359424482094
264,0.0012013817676983858,264,11088,1,1.3401790106548843,-1.7710038009732432,4.970859708666997
265,0.0004883801451326663,265,11130,1,1.3559887690872696,-1.7633388182749243,4.9698824824252155
266,0.0009283359929887175,266,11172,1,1.323929811197284,-1.7973504526340258,4.970979536791546
267,0.00028322291029667156,267,11214,1,1.3529537916763248,-1.777832380470972,4.9694236756618455
268,0.0013547656283607946,268,11256,1,1.3097957319159328,-1.822333765527965,4.971001354053923
269,0.00045222993057200895,269,11298,1,1.3753698477665344,-1.7705114844002372,4.967780495820115
270,0.0007562119721518486,270,11340,1,1.3352957131429675,-1.8113513372023697,4.969306099127755
271,0.0005902209356746632,271,11382,1,1.3593094791157887,-1.796197881871297,4.967902110899663
272,0.001128700515138837,272,11424,1,1.3530745481946023,-1.8076360479959774,4.967875772716967
273,0.0009242917330400647,273,11466,1,1.382675793411563,-1.7879949350235047,4.966134814151202
274,0.0005962674462307947,274,11508,1,1.3783078992027178,-1.797686911091756,4.966016166847159
275,0.0008761289579983236,275,11550,1,1.364401694838317,-1.8157040156051374,4.966362102038936
276,0.0005281100214367012,276,11592,1,1.3834923909783865,-1.8051366238354192,4.965078981567737
277,0.0012738169140115256,277,11634,1,1.3668589628231989,-1.82555344998807,4.965567111744254
278,0.0003153778252130544,278,11676,1,1.4059513393646959,-1.7977876723941386,4.963209800009357
279,0.0007491867676270136,279,11718,1,1.3536624856773232,-1.8493695352712,4.965532849488717
280,0.0005095045226834717,280,11760,1,1.3919032984796795,-1.8217305217188478,4.963228414376754
281,0.0011504739643589147,281,11802,1,1.380077368413525,-1.8379775264215592,4.963485499618861
282,0.0008133184109153372,282,11844,1,1.4166378862926832,-1.8124006567346034,4.961138152219549
283,0.0005971067315595209,283,11886,1,1.406303240902316,-1.827206403558771,4.961329612324868
284,0.0008313443972182161,284,11928,1,1.3975154843314077,-1.8407614233228333,4.961430653169896
285,0.0005267559379319996,285,11970,1,1.4146073007163054,-1.831976322141624,4.9600843964462324
286,0.0012269173408397376,286,12012,1,1.3998537989952564,-1.8506943513086385,4.960523282923586
287,0.0003270998636825636,287,12054,1,1.4378518555304123,-1.8239597127045963,4.9579102644310895
288,0.0007088530619309377,288,12096,1,1.3880837290212302,-1.8730551833187694,4.9603915188784775
289,0.0005189667990094482,289,12138,1,1.4230182046375586,-1.8485672310311643,4.957965446982717
290,0.0010510803253043278,290,12180,1,1.414094718133486,-1.862258035309347,4.958076786399131
291,0.0008831480826015897,291,12222,1,1.4465180563560445,-1.8402925414998454,4.955665908728078
292,0.0005211499009713818,292,12264,1,1.4431733596118013,-1.8490985461246008,4.955435920075448
293,0.0008174705416568295,293,12306,1,1.425447042024632,-1.8703460385325974,4.956101615135564
294,0.0003098959008373869,294,12348,1,1.4475227028453899,-1.8572595730293617,4.954258949972154
295,0.0012046478830290914,295,12390,1,1.4118527280065793,-1.8942200887307026,4.956057071394622
296,0.0004601247276924518,296,12432,1,1.4708767804041538,-1.8491494743182137,4.951770064797474
297,0.0006625962624614649,297,12474,1,1.4353516873548031,-1.885666056569632,4.953663956535821
298,0.0006515667920890323,298,12516,1,1.4539835798964829,-1.8755108075256357,4.95195890480778
299,0.000799072030753616,299,12558,1,1.457064770527126,-1.8788113276986107,4.951265081549213
300,0.0010539049254978164,300,12600,1,1.469188611476966,-1.8743321413984568,4.9499303215720385
301,0.00034940942712917455,301,12642,1,1.484308068054362,-1.867333185298712,4.948339968391391
302,0.0007369471181303362,302,12684,1,1.442927608354218,-1.9090035307856188,4.950751003303697
303,0.00042714697811339225,303,12726,1,1.4772249723596556,-1.885268597753842,4.947819386309061
304,0.0010724474031814902,304,12768,1,1.4586672769415017,-1.9072569203561311,4.948635862172395
305,0.0007389505868202905,305,12810,1,1.500212722534835,-1.877485764942795,4.945020632996264
